1.  1-я Посадская улица

2.  2-я Посадская улица

3.  1-я Пушкарная улица

4.  2-я Пушкарная улица

5.  5-й Орловской стрелковой дивизии улица

6.  6-й Орловской Дивизии улица

7.  Авиационная улица

8.  Автовокзальная площадь

9.  Автовокзальная улица

10.  Автогрейдерная улица

11.  Алроса улица

12.  Андреева улица

13.  Афонина улица

14.  Балтийский переулок

15.  Бахтина улица

16.  Березовый переулок

17.  Бетонный переулок

18.  Богоявленская площадь

19.  Ботанический бульвар

20.  Ботанический переулок

21.  Брянская улица

22.  Васильевская улица

23.  Васильевский переулок

24.  Ватная улица

25.  Вишневый переулок

26.  Волгоградский переулок

27.  Воскресенский переулок

28.  Высоковольтная улица

29.  Выставочная улица

30.  Гагарина улица

31.  Генерала А.П. Ермолова площадь

32.  Гоголя улица

33.  Городковый переулок

34.  Городская улица

35.  Городской переулок

36.  Гостиная улица

37.  Грибной переулок

38.  Громовой улица

39.  Гуреевская улица

40.  Дальний переулок

41.  Дарвина переулок

42.  Донской переулок

43.  Дорожный переулок

44.  Достоевского улица

45.  Дружбы улица

46.  Еловый переулок

47.  Емлютина улица

48.  Есенина набережная

49.  Журавинская улица

50.  Заводская улица

51.  Загородный переулок

52.  Заливной переулок

53.  Западный переулок

54.  Заречная улица

55.  Зеленый Берег улица

56.  Зеленый Ров улица

57.  Земляничный переулок

58.  Земнухова улица

59.  Знаменская улица

60.  Игрушечный переулок

61.  Итальянская улица

62.  Калинина улица

63.  Канатный переулок

64.  Карачевская улица

65.  Карачевский переулок

66.  Карачевское шоссе

67.  Карла Маркса площадь

68.  Кирпичная улица

69.  Кирпичный проезд

70.  Ковыльный переулок

71.  Коллективная улица

72.  Колхозная улица

73.  Комсомольская площадь

74.  Комсомольская улица

75.  Комсомольский переулок

76.  Конная улица

77.  Корчагина улица

78.  Кошевого улица

79.  Красина улица

80.  Кривцова улица

81.  Кромская улица

82.  Кромское шоссе

83.  Кромской проезд

84.  Кромская платформа

85.  Крутой переулок

86.  Кузнечный переулок

87.  Лавровская улица

88.  Лавровский переулок

89.  Латышских Стрелков улица

90.  Лебединый переулок

91.  Левый Берег реки Оки улица

92.  Ленинградский переулок

93.  Лермонтова улица

94.  Линейная улица

95.  Линейный тупик

96.  Лиственный переулок

97.  Лужковская улица

98.  Лужковский переулок

99.  Любановская улица

100. Маслозаводской переулок

101. Машиностроительная улица

102. Машкарина улица

103. Маяковского улица

104. Межквартальная улица

105. Менделеева улица

106. Менделеева переулок

107. Михаило-Архангельский переулок

108. Молодежи бульвар

109. Молодогвардейский переулок

110. МОПРа улица

